8RN08T, G, 0, -inf, -inf, inf
4P4M86, B, 1, inf, -inf, inf
747JMX, B, 2, -inf, -inf, inf
DC9WVR, R, 3, inf, -inf, inf
8W1TR4, B, 4, -10, -inf, inf
DC9WVR, R, 3, -10, -inf, -10
8W1TR4, G, 4, -10, -inf, -10
DC9WVR, R, 3, -10, -inf, -10
FY9GFS, G, 4, -10, -inf, -10
DC9WVR, R, 3, -10, -inf, -10
I0Y59O, R, 4, -9, -inf, -10
DC9WVR, R, 3, -10, -inf, -10
JQ4MOC, G, 4, -10, -inf, -10
DC9WVR, R, 3, -10, -inf, -10
MDXJ6E, G, 4, -10, -inf, -10
DC9WVR, R, 3, -10, -inf, -10
MF84DN, G, 4, -10, -inf, -10
DC9WVR, R, 3, -10, -inf, -10
MF84DN, R, 4, -9, -inf, -10
DC9WVR, R, 3, -10, -inf, -10
NESUPA, B, 4, -10, -inf, -10
DC9WVR, R, 3, -10, -inf, -10
NESUPA, G, 4, -10, -inf, -10
DC9WVR, R, 3, -10, -inf, -10
UWYCZ6, G, 4, -10, -inf, -10
DC9WVR, R, 3, -10, -inf, -10
UWYCZ6, R, 4, -9, -inf, -10
DC9WVR, R, 3, -10, -inf, -10
WHIF82, G, 4, -10, -inf, -10
DC9WVR, R, 3, -10, -inf, -10
WHIF82, R, 4, -9, -inf, -10
DC9WVR, R, 3, -10, -inf, -10
747JMX, B, 2, -10, -10, inf
FY9GFS, G, 3, inf, -10, inf
DC9WVR, R, 4, -14, -10, inf
FY9GFS, G, 3, -14, -10, inf
747JMX, B, 2, -10, -10, inf
FY9GFS, R, 3, inf, -10, inf
DC9WVR, G, 4, -10, -10, inf
FY9GFS, R, 3, -10, -10, inf
747JMX, B, 2, -10, -10, inf
I0Y59O, R, 3, inf, -10, inf
9V7X3M, B, 4, -10, -10, inf
I0Y59O, R, 3, -10, -10, inf
747JMX, B, 2, -10, -10, inf
JQ4MOC, R, 3, inf, -10, inf
8W1TR4, B, 4, -10, -10, inf
JQ4MOC, R, 3, -10, -10, inf
747JMX, B, 2, -10, -10, inf
MDXJ6E, G, 3, inf, -10, inf
8W1TR4, B, 4, -15, -10, inf
MDXJ6E, G, 3, -15, -10, inf
747JMX, B, 2, -10, -10, inf
MF84DN, G, 3, inf, -10, inf
8W1TR4, B, 4, -15, -10, inf
MF84DN, G, 3, -15, -10, inf
747JMX, B, 2, -10, -10, inf
MF84DN, R, 3, inf, -10, inf
8W1TR4, B, 4, -10, -10, inf
MF84DN, R, 3, -10, -10, inf
747JMX, B, 2, -10, -10, inf
UWYCZ6, G, 3, inf, -10, inf
DC9WVR, R, 4, -14, -10, inf
UWYCZ6, G, 3, -14, -10, inf
747JMX, B, 2, -10, -10, inf
UWYCZ6, R, 3, inf, -10, inf
DC9WVR, R, 4, -9, -10, inf
UWYCZ6, R, 3, -9, -10, -9
FY9GFS, G, 4, -10, -10, -9
UWYCZ6, R, 3, -10, -10, -9
747JMX, B, 2, -10, -10, inf
WHIF82, G, 3, inf, -10, inf
DC9WVR, R, 4, -14, -10, inf
WHIF82, G, 3, -14, -10, inf
747JMX, B, 2, -10, -10, inf
WHIF82, R, 3, inf, -10, inf
DC9WVR, R, 4, -9, -10, inf
WHIF82, R, 3, -9, -10, -9
FY9GFS, G, 4, -10, -10, -9
WHIF82, R, 3, -10, -10, -9
747JMX, B, 2, -10, -10, inf
4P4M86, B, 1, -10, -inf, -10
DC9WVR, R, 2, -inf, -inf, -10
747JMX, B, 3, inf, -inf, -10
8W1TR4, B, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
8W1TR4, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
FY9GFS, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
I0Y59O, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
JQ4MOC, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
MDXJ6E, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
MF84DN, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
MF84DN, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
NESUPA, B, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
NESUPA, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
UWYCZ6, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
UWYCZ6, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
WHIF82, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
WHIF82, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
DC9WVR, R, 2, -7, -inf, -10
4P4M86, B, 1, -10, -inf, -10
I0Y59O, R, 2, -inf, -inf, -10
747JMX, B, 3, inf, -inf, -10
9V7X3M, B, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
9V7X3M, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
DC9WVR, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
DKTHPZ, B, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
DKTHPZ, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
FY9GFS, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
FY9GFS, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
HKREHK, B, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
HKREHK, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
JQ4MOC, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
MDXJ6E, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
MF84DN, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
MF84DN, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
O63NUG, B, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
O63NUG, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
UWYCZ6, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
UWYCZ6, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
WHIF82, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
WHIF82, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
I0Y59O, R, 2, -7, -inf, -10
4P4M86, B, 1, -10, -inf, -10
JQ4MOC, R, 2, -inf, -inf, -10
747JMX, B, 3, inf, -inf, -10
8W1TR4, B, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
8W1TR4, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
93HUR9, B, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
93HUR9, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
DC9WVR, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
FY9GFS, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
FY9GFS, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
HKREHK, B, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
HKREHK, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
HUIICH, B, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
HUIICH, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
I0Y59O, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
MDXJ6E, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
MF84DN, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
UWYCZ6, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
UWYCZ6, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
VN6QLT, B, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
VN6QLT, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
WHIF82, G, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
WHIF82, R, 4, -6, -inf, -10
747JMX, B, 3, -7, -inf, -10
JQ4MOC, R, 2, -7, -inf, -10
4P4M86, B, 1, -10, -inf, -10
MDXJ6E, G, 2, -inf, -inf, -10
747JMX, B, 3, inf, -inf, -10
8W1TR4, B, 4, -8, -inf, -10
747JMX, B, 3, -8, -inf, -10
8W1TR4, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
DC9WVR, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
FY9GFS, G, 4, -8, -inf, -10
747JMX, B, 3, -8, -inf, -10
FY9GFS, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
I0Y59O, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
JQ4MOC, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
MF84DN, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
NESUPA, B, 4, -8, -inf, -10
747JMX, B, 3, -8, -inf, -10
NESUPA, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
O63NUG, B, 4, -8, -inf, -10
747JMX, B, 3, -8, -inf, -10
O63NUG, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
UWYCZ6, G, 4, -8, -inf, -10
747JMX, B, 3, -8, -inf, -10
UWYCZ6, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
VN6QLT, B, 4, -8, -inf, -10
747JMX, B, 3, -8, -inf, -10
VN6QLT, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
WHIF82, G, 4, -8, -inf, -10
747JMX, B, 3, -8, -inf, -10
WHIF82, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
MDXJ6E, G, 2, -8, -inf, -10
4P4M86, B, 1, -10, -inf, -10
UWYCZ6, G, 2, -inf, -inf, -10
747JMX, B, 3, inf, -inf, -10
DC9WVR, R, 4, -7, -inf, -10
747JMX, B, 3, -7, -inf, -10
FY9GFS, G, 4, -8, -inf, -10
747JMX, B, 3, -8, -inf, -10
FY9GFS, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
HUIICH, B, 4, -8, -inf, -10
747JMX, B, 3, -8, -inf, -10
HUIICH, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
I0Y59O, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
JQ4MOC, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
MDXJ6E, G, 4, -8, -inf, -10
747JMX, B, 3, -8, -inf, -10
MF84DN, G, 4, -8, -inf, -10
747JMX, B, 3, -8, -inf, -10
MF84DN, R, 4, -7, -inf, -10
747JMX, B, 3, -8, -inf, -10
WHIF82, G, 4, -8, -inf, -10
747JMX, B, 3, -8, -inf, -10
